分类: 咪咕央卫, 名称: 大湾区卫视, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 咪咕央卫, 名称: 辽宁体育, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 5700 ms, 最高速率: 0.09 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 咪咕央卫, 名称: 东方卫视, 有效: 3, IPv4: 25, IPv6: 0, 最小延迟: 142 ms, 最高速率: 18.82 M/s, 平均速率: 8.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 咪咕央卫, 名称: 江苏卫视, 有效: 2, IPv4: 25, IPv6: 0, 最小延迟: 626 ms, 最高速率: 6.19 M/s, 平均速率: 3.48 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: 广东卫视, 有效: 0, IPv4: 24, IPv6: 0, 最小延迟: 5070 ms, 最高速率: 0.19 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: 北京卫视, 有效: 2, IPv4: 32, IPv6: 0, 最小延迟: 672 ms, 最高速率: 6.49 M/s, 平均速率: 3.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: 辽宁卫视, 有效: 1, IPv4: 23, IPv6: 0, 最小延迟: 5294 ms, 最高速率: 0.63 M/s, 平均速率: 0.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 咪咕央卫, 名称: 河北卫视, 有效: 1, IPv4: 22, IPv6: 0, 最小延迟: 5032 ms, 最高速率: 0.82 M/s, 平均速率: 0.82 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: 江西卫视, 有效: 1, IPv4: 24, IPv6: 0, 最小延迟: 983 ms, 最高速率: 4.58 M/s, 平均速率: 4.58 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 咪咕央卫, 名称: 陕西卫视, 有效: 0, IPv4: 14, IPv6: 0, 最小延迟: 5453 ms, 最高速率: 0.39 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: mpeg2video, 音频编解码器: mp2
